Order ID,Order Date,Order Type,Tax Amount,Tip,Order Total,Payments Total,Tender,order_date,order_hour,order_dow,is_weekend,month,month_num,quarter,year,order_segment
QQBMWE3NMZQ0Y,2025-03-31 22:54:00,Pick Up,2.09,0.0,25.99,25.99,Cash,2025-03-31,22,Monday,False,March,3,1,2025,Mid
TH041BMRDC2Y6,2025-03-31 22:35:00,Delivery,0.0,0.0,25.13,0.0,,2025-03-31,22,Monday,False,March,3,1,2025,Mid
06KJV691ZMV48,2025-03-31 22:33:00,Pick Up,1.44,3.29,17.9,17.9,Debit Card,2025-03-31,22,Monday,False,March,3,1,2025,Mid
ASKA2CPN7GT2A,2025-03-31 22:24:00,Pick Up,3.27,0.0,40.69,40.69,Cash,2025-03-31,22,Monday,False,March,3,1,2025,High
GK5Z5D128NA1M,2025-03-31 22:23:00,Pick Up,1.61,0.92,20.05,20.05,Credit Card,2025-03-31,22,Monday,False,March,3,1,2025,Mid
D563J9Y0Z12F2,2025-03-31 22:14:00,Delivery,5.08,0.0,63.19,63.19,Credit Card,2025-03-31,22,Monday,False,March,3,1,2025,Very High
7A47E4A42P8R4,2025-03-31 22:05:00,Delivery,0.0,0.0,24.95,0.0,,2025-03-31,22,Monday,False,March,3,1,2025,Mid
R6AWKDGBE711G,2025-03-31 22:04:00,Pick Up,0.0,0.75,5.0,5.0,Debit Card,2025-03-31,22,Monday,False,March,3,1,2025,Low
Y9551FQBWKCZW,2025-03-31 21:54:00,Pick Up,2.78,0.0,34.59,34.59,Debit Card,2025-03-31,21,Monday,False,March,3,1,2025,High
P1VE3KGFFVQVM,2025-03-31 21:52:00,Popmenu Delivery,3.64,0.0,45.21,45.21,Debit Card,2025-03-31,21,Monday,False,March,3,1,2025,Very High
B0WPSYY62K9XJ,2025-03-31 21:50:00,Pick Up,5.91,0.0,73.48,73.48,Credit Card,2025-03-31,21,Monday,False,March,3,1,2025,Very High
M9XW7F8QE0E1C,2025-03-31 21:47:00,Pick Up,0.74,0.0,9.15,9.15,Debit Card,2025-03-31,21,Monday,False,March,3,1,2025,Low
NW20VY2906JD2,2025-03-31 21:45:00,Pick Up,2.03,0.0,25.19,25.19,Cash,2025-03-31,21,Monday,False,March,3,1,2025,Mid
3SE86RJ47P13P,2025-03-31 21:42:00,Pick Up,1.74,0.0,21.6,21.6,Debit Card,2025-03-31,21,Monday,False,March,3,1,2025,Mid
MDWKSX4KNNBH6,2025-03-31 21:34:00,Popmenu Pickup,1.83,3.99,22.77,22.77,Debit Card,2025-03-31,21,Monday,False,March,3,1,2025,Mid
DN42BT15B6792,2025-03-31 21:26:00,Delivery,0.0,0.0,26.75,0.0,,2025-03-31,21,Monday,False,March,3,1,2025,Mid
JNVTRRFVV3M6T,2025-03-31 21:15:00,Pick Up,0.8,0.0,9.92,9.92,Cash,2025-03-31,21,Monday,False,March,3,1,2025,Low
3DNZ9YVP17KFP,2025-03-31 21:15:00,Delivery,0.0,0.0,30.34,0.0,,2025-03-31,21,Monday,False,March,3,1,2025,High
Y76EZFVB8ESTP,2025-03-31 21:08:00,Pick Up,0.5,1.15,6.25,6.25,Debit Card,2025-03-31,21,Monday,False,March,3,1,2025,Low
ET1FYTMBXKFHC,2025-03-31 20:54:00,Pick Up,0.0,0.0,0.0,0.0,,2025-03-31,20,Monday,False,March,3,1,2025,Low
BGSJJJZVCNVKP,2025-03-31 20:52:00,Pick Up,1.24,0.0,15.4,15.4,Cash,2025-03-31,20,Monday,False,March,3,1,2025,Mid
Y603R198W7KHJ,2025-03-31 20:51:00,Pick Up,2.09,0.0,25.99,25.99,Debit Card,2025-03-31,20,Monday,False,March,3,1,2025,Mid
MJD5ZG9JWPEQM,2025-03-31 20:49:00,Delivery,0.0,0.0,38.03,0.0,,2025-03-31,20,Monday,False,March,3,1,2025,High
1SFB9ZJHE87QG,2025-03-31 20:33:00,Delivery,0.0,0.0,25.1,0.0,,2025-03-31,20,Monday,False,March,3,1,2025,Mid
16G0MP2T8STV4,2025-03-31 20:31:00,Delivery,0.0,0.0,30.34,0.0,,2025-03-31,20,Monday,False,March,3,1,2025,High
52KVTAWHNDK92,2025-03-31 20:30:00,Pick Up,0.0,0.0,13.8,0.0,,2025-03-31,20,Monday,False,March,3,1,2025,Low
05BEB8A1WAT7T,2025-03-31 20:29:00,Delivery,4.26,0.0,52.94,52.94,Credit Card,2025-03-31,20,Monday,False,March,3,1,2025,Very High
HPA2N202R29K4,2025-03-31 20:27:00,Pick Up,2.09,0.0,25.99,25.99,Cash,2025-03-31,20,Monday,False,March,3,1,2025,Mid
